"","Friuli-Venezia Giulia","Emilia-Romagna","Marche","Abruzzo","Sicilia","Toscana","Lazio","Lombardia","Campania","Molise","Puglia","Basilicata","Trentino-Alto Adige/Südtirol","Calabria","Veneto","Piemonte","Valle d'Aosta/Vallée d'Aoste","Liguria","Sardegna","Umbria"
"Friuli-Venezia Giulia",40744.2666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,279.357142857143,0,0,0,0,0
"Emilia-Romagna",0,525986.6,133.733333333333,0,0,0,0,779.6,0,0,0,0,0,0,197.571428571429,0,0,0,0,0
"Marche",0,132.666666666667,104600.666666667,289.866666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Abruzzo",0,0,279.933333333333,66678.8666666667,0,0,25.0666666666667,0,0,27.8888888888889,0,0,0,0,0,0,0,0,0,0
"Sicilia",0,0,0,0,411340.866666667,0,15.5,0,0,0,0,0,0,14.6666666666667,0,0,0,0,0,0
"Toscana",0,0,0,0,0,392054.733333333,25,0,0,0,0,0,0,0,0,0,0,252.333333333333,25.5,172.466666666667
"Lazio",0,12,0,31.1428571428571,25,19,792926.666666667,11,103.866666666667,0,0,0,0,0,0,0,0,0,28,59.0714285714286
"Lombardia",0,724.533333333333,0,0,0,0,0,390101.866666667,0,0,0,0,12.375,0,130.461538461538,354.615384615385,0,0,0,0
"Campania",0,0,0,0,0,0,79.2,0,379384.733333333,29.4545454545455,0,10,0,0,0,0,0,0,0,0
"Molise",0,0,0,31.3,0,0,0,0,28.5,8701.8,11,0,0,0,0,0,0,0,0,0
"Puglia",0,0,0,0,0,0,0,0,0,0,402991,86.4615384615385,0,0,0,0,0,0,0,0
"Basilicata",0,0,0,0,0,0,0,0,11.2,0,98.5384615384615,36182,0,14.2,0,0,0,0,0,0
"Trentino-Alto Adige/Südtirol",0,0,0,0,0,0,0,15.4545454545455,0,0,0,0,39097.2,0,37,0,0,0,0,0
"Calabria",0,0,0,0,15.2857142857143,0,0,0,0,0,0,0,0,96360.8,0,0,0,0,0,0
"Veneto",318.692307692308,172.8,0,0,0,0,0,148.833333333333,0,0,0,0,32.3333333333333,0,247684.333333333,0,0,0,0,0
"Piemonte",0,0,0,0,0,0,0,330.923076923077,0,0,0,0,0,0,0,254888.8,10,26,0,0
"Valle d'Aosta/Vallée d'Aoste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1402,0,0,0
"Liguria",0,0,0,0,11.5,257.6,0,11,0,0,0,0,0,0,0,49.4444444444444,0,115838.133333333,10.5,0
"Sardegna",0,0,0,0,0,17.5,27.4444444444444,0,0,0,0,0,0,0,0,0,0,0,83916.0666666667,0
"Umbria",0,0,0,0,0,168.066666666667,53.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,116434.2
