"Fasce","CasiM","DecedutiM","LetalitaM","CasiF","DecedutiF","LetalitaF","Casi","Deceduti","Letalita"
"0-9",244,0,0.0,180,0,0.0,428,0,0.0
"10-19",261,0,0.0,249,0,0.0,512,0,0.0
"20-29",1203,0,0.0,1510,0,0.0,2778,0,0.0
"30-39",2465,14,0.6,2494,3,0.1,5033,17,0.3
"40-49",4597,49,1.1,4570,18,0.4,9295,67,0.7
"50-59",7998,190,2.4,6337,52,0.8,14508,243,1.7
"60-69",8755,606,6.9,4394,154,3.5,13243,761,5.7
"70-79",9309,1846,19.8,4781,555,11.6,14198,2403,16.9
"80-89",6195,1808,29.2,4734,894,18.9,11001,2702,24.6
"90+",887,273,30.8,1640,334,20.4,2538,608,24.0
"ignota",135,0,0.0,106,0,0.0,246,0,0.0
