"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,"",""
"2","2020-02-25T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,"",""
"3","2020-02-26T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,"",""
"4","2020-02-27T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,"",""
"5","2020-02-28T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,"",""
"6","2020-02-29T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,32,"",""
"7","2020-03-01T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,39,"",""
"8","2020-03-02T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,39,"",""
"9","2020-03-03T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,1,1,1,0,0,1,42,"",""
"10","2020-03-04T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,1,1,0,0,0,1,48,"",""
"11","2020-03-05T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,0,0,1,1,0,0,0,1,54,"",""
"12","2020-03-06T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,1,0,1,2,3,2,0,0,3,63,"",""
"13","2020-03-07T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,1,0,1,2,3,0,0,0,3,75,"",""
"14","2020-03-08T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,2,0,2,2,4,1,0,0,4,123,"",""
"15","2020-03-09T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,2,0,2,3,5,1,0,0,5,135,"",""
"16","2020-03-10T18:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,2,0,2,5,7,2,0,0,7,148,"",""
"17","2020-03-11T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,1,1,2,6,8,1,0,0,8,155,"",""
"18","2020-03-12T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,1,1,2,6,8,0,0,0,8,155,"",""
"19","2020-03-13T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,1,1,2,8,10,2,0,0,10,155,"",""
"20","2020-03-14T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,2,2,8,10,0,0,0,10,155,"",""
"21","2020-03-15T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,0,2,2,9,11,1,0,0,11,208,"",""
"22","2020-03-16T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,1,2,3,9,12,1,0,0,12,230,"",""
"23","2020-03-17T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,5,2,7,13,20,8,0,0,20,262,"",""
"24","2020-03-18T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,9,2,11,16,27,7,0,0,27,262,"",""
"25","2020-03-19T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,8,5,13,24,37,10,0,0,37,353,"",""
"26","2020-03-20T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,8,5,13,39,52,15,0,0,52,443,"",""
"27","2020-03-21T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,12,7,19,47,66,14,0,0,66,522,"",""
"28","2020-03-22T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,13,10,23,58,81,15,0,0,81,643,"",""
"29","2020-03-23T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,15,12,27,62,89,8,0,1,90,696,"",""
"30","2020-03-24T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,14,12,26,65,91,2,0,1,92,744,"",""
"31","2020-03-25T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,20,14,34,78,112,21,0,1,113,857,"",""
"32","2020-03-26T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,22,16,38,95,133,21,0,1,134,1046,"",""
"33","2020-03-27T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,22,15,37,110,147,14,1,3,151,1254,"",""
