"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,"",""
"2","2020-02-25T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,"",""
"3","2020-02-26T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,"",""
"4","2020-02-27T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,2,0,2,1,3,3,0,0,3,10,"",""
"5","2020-02-28T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,2,0,2,2,4,1,0,0,4,213,"",""
"6","2020-02-29T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,3,0,3,10,13,9,0,0,13,373,"",""
"7","2020-03-01T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,4,0,4,13,17,4,0,0,17,373,"",""
"8","2020-03-02T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,4,0,4,13,17,0,0,0,17,373,"",""
"9","2020-03-03T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,11,0,11,19,30,13,0,0,30,405,"",""
"10","2020-03-04T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,11,0,11,20,31,1,0,0,31,429,"",""
"11","2020-03-05T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,12,0,12,33,45,14,0,0,45,471,"",""
"12","2020-03-06T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,12,0,12,45,57,12,0,0,57,471,"",""
"13","2020-03-07T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,16,0,16,45,61,4,0,0,61,612,"",""
"14","2020-03-08T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,30,7,37,63,100,39,1,0,101,980,"",""
"15","2020-03-09T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,42,8,50,69,119,19,1,0,120,980,"",""
"16","2020-03-10T18:00:00","ITA",15,"Campania",40.83956555,14.25084984,33,8,41,85,126,7,1,0,127,1141,"",""
"17","2020-03-11T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,56,11,67,82,149,23,4,1,154,1375,"",""
"18","2020-03-12T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,56,11,67,107,174,25,4,1,179,1551,"",""
"19","2020-03-13T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,60,19,79,134,213,39,5,2,220,1671,"",""
"20","2020-03-14T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,72,17,89,154,243,30,23,6,272,1936,"",""
"21","2020-03-15T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,73,22,95,201,296,53,28,9,333,2213,"",""
"22","2020-03-16T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,103,22,125,238,363,67,28,9,400,2517,"",""
"23","2020-03-17T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,127,24,151,272,423,60,28,9,460,2685,"",""
"24","2020-03-18T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,127,24,151,272,423,0,28,9,460,2685,"nd-IT-0013","nd-EN-0013"
"25","2020-03-19T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,213,36,249,356,605,182,30,17,652,3544,"",""
"26","2020-03-20T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,130,41,171,531,702,97,30,17,749,3845,"",""
"27","2020-03-21T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,233,87,320,473,793,91,29,22,844,4448,"",""
"28","2020-03-22T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,243,99,342,524,866,73,41,29,936,4943,"",""
"29","2020-03-23T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,266,110,376,553,929,63,48,49,1026,5813,"",""
"30","2020-03-24T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,345,181,526,466,992,63,53,56,1101,6297,"",""
"31","2020-03-25T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,318,123,441,631,1072,80,53,74,1199,6972,"",""
"32","2020-03-26T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,448,114,562,607,1169,97,58,83,1310,8346,"",""
"33","2020-03-27T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,456,113,569,723,1292,123,64,98,1454,9613,"",""
