"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,0,0,0,0,0,0,0,0,0,0,1,"",""
"2","2020-02-25T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,1,0,1,0,1,1,1,0,0,1,39,"",""
"3","2020-02-26T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,6,0,6,5,11,10,10,0,0,11,66,"",""
"4","2020-02-27T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,9,0,9,10,19,8,8,0,0,19,78,"",""
"5","2020-02-28T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,9,0,9,10,19,0,0,0,0,19,112,"",""
"6","2020-02-29T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,4,1,5,33,38,19,23,4,0,42,121,"",""
"7","2020-03-01T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,12,1,13,8,21,-17,-17,4,0,25,121,"",""
"8","2020-03-02T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,12,1,13,5,18,-3,-3,4,0,22,121,"",""
"9","2020-03-03T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,12,2,14,5,19,1,2,4,1,24,121,"",""
"10","2020-03-04T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,10,3,13,8,21,2,2,4,1,26,133,"",""
"11","2020-03-05T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,11,3,14,7,21,0,2,4,3,28,146,"",""
"12","2020-03-06T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,12,5,17,7,24,3,4,5,3,32,229,"",""
"13","2020-03-07T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,26,6,32,10,42,18,19,5,4,51,331,"",""
"14","2020-03-08T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,39,11,50,17,67,25,27,5,6,78,401,"",""
"15","2020-03-09T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,60,17,77,20,97,30,31,5,7,109,611,"",""
"16","2020-03-10T18:00:00","ITA",7,"Liguria",44.41149315,8.9326992,57,29,86,42,128,31,32,5,8,141,694,"",""
"17","2020-03-11T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,74,34,108,73,181,53,53,5,8,194,1025,"",""
"18","2020-03-12T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,100,36,136,107,243,62,80,20,11,274,1174,"",""
"19","2020-03-13T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,128,44,172,132,304,61,71,24,17,345,1442,"",""
"20","2020-03-14T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,213,62,275,109,384,80,118,52,27,463,1750,"",""
"21","2020-03-15T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,253,66,319,174,493,109,96,33,33,559,1973,"",""
"22","2020-03-16T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,255,73,328,247,575,82,108,42,50,667,2189,"",""
