"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,16,"",""
"2","2020-02-25T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,21,"",""
"3","2020-02-26T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,1,0,1,0,1,1,1,0,0,1,28,"",""
"4","2020-02-27T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,2,1,3,0,3,2,2,0,0,3,46,"",""
"5","2020-02-28T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,3,2,5,1,6,3,3,0,0,6,47,"",""
"6","2020-02-29T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,6,2,8,3,11,5,5,0,0,11,68,"",""
"7","2020-03-01T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,12,5,17,8,25,14,14,0,0,25,101,"",""
"8","2020-03-02T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,17,6,23,11,34,9,10,0,1,35,137,"",""
"9","2020-03-03T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,27,13,40,19,59,25,26,0,2,61,200,"",""
"10","2020-03-04T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,34,15,49,31,80,21,23,0,4,84,288,"",""
"11","2020-03-05T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,57,19,76,44,120,40,40,0,4,124,413,"",""
"12","2020-03-06T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,73,20,93,62,155,35,35,0,4,159,585,"",""
"13","2020-03-07T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,94,36,130,71,201,46,48,0,6,207,816,"",""
"14","2020-03-08T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,110,41,151,114,265,64,65,0,7,272,1025,"",""
"15","2020-03-09T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,136,47,183,130,313,48,51,0,10,323,1250,"",""
"16","2020-03-10T18:00:00","ITA",11,"Marche",43.61675973,13.5188753,152,54,206,175,381,68,71,0,13,394,1437,"",""
"17","2020-03-11T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,212,66,278,183,461,80,85,0,18,479,1656,"",""
"18","2020-03-12T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,254,76,330,240,570,109,113,0,22,592,1907,"",""
"19","2020-03-13T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,337,85,422,276,698,128,133,0,27,725,2218,"",""
"20","2020-03-14T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,449,93,542,321,863,165,174,0,36,899,2561,"",""
"21","2020-03-15T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,521,98,619,468,1087,224,234,0,46,1133,2946,"",""
"22","2020-03-16T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,528,110,638,547,1185,98,109,0,57,1242,3225,"",""
"23","2020-03-17T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,599,109,708,594,1302,117,129,0,69,1371,3225,"",""
"24","2020-03-18T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,638,119,757,719,1476,174,197,0,92,1568,4109,"",""
"25","2020-03-19T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,656,141,797,825,1622,146,169,0,115,1737,4512,"",""
"26","2020-03-20T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,704,138,842,1002,1844,222,244,0,137,1981,5170,"",""
"27","2020-03-21T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,742,141,883,1114,1997,153,172,2,154,2153,5740,"",""
"28","2020-03-22T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,816,138,954,1277,2231,234,268,6,184,2421,6391,"",""
"29","2020-03-23T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,882,148,1030,1328,2358,127,148,8,203,2569,6782,"",""
"30","2020-03-24T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,862,149,1011,1486,2497,139,167,8,231,2736,7229,"",""
"31","2020-03-25T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,938,148,1086,1553,2639,142,198,8,287,2934,7896,"",""
"32","2020-03-26T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,977,166,1143,1652,2795,156,180,9,310,3114,8623,"",""
"33","2020-03-27T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,979,162,1141,1709,2850,55,82,10,336,3196,9060,"",""
"34","2020-03-28T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,987,166,1153,1846,2999,149,177,10,364,3373,9884,"",""
"35","2020-03-29T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,1000,168,1168,1992,3160,161,185,12,386,3558,10431,"",""
"36","2020-03-30T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,998,167,1165,2086,3251,91,126,16,417,3684,10979,"",""
"37","2020-03-31T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,946,169,1115,2237,3352,101,141,21,452,3825,11724,"",""
