"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,"",""
"2","2020-02-25T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,"",""
"3","2020-02-26T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,"",""
"4","2020-02-27T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,"",""
"5","2020-02-28T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,"",""
"6","2020-02-29T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,"",""
"7","2020-03-01T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,6,"",""
"8","2020-03-02T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,13,"",""
"9","2020-03-03T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,0,3,0,3,3,0,0,3,13,"",""
"10","2020-03-04T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,0,3,0,3,0,0,0,3,19,"",""
"11","2020-03-05T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,4,0,4,3,7,4,0,0,7,24,"",""
"12","2020-03-06T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,2,5,7,12,5,0,0,12,104,"",""
"13","2020-03-07T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,2,5,9,14,2,0,0,14,112,"",""
"14","2020-03-08T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,4,2,6,8,14,0,0,0,14,116,"",""
"15","2020-03-09T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,4,2,6,8,14,0,0,0,14,212,"",""
"16","2020-03-10T18:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,3,6,9,15,1,0,0,15,225,"",""
"17","2020-03-11T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,4,3,7,9,16,1,0,0,16,233,"",""
"18","2020-03-12T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,4,3,7,9,16,0,0,0,16,238,"",""
"19","2020-03-13T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,5,3,8,9,17,1,0,0,17,243,"",""
"20","2020-03-14T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,5,3,8,9,17,0,0,0,17,247,"",""
"21","2020-03-15T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,4,7,10,17,0,0,0,17,248,"",""
"22","2020-03-16T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,3,5,8,7,15,-2,5,1,21,253,"",""
"23","2020-03-17T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,7,5,12,7,19,4,5,1,25,301,"",""
"24","2020-03-18T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,7,6,13,8,21,2,6,1,28,361,"",""
"25","2020-03-19T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,19,6,25,13,38,17,6,2,46,426,"",""
"26","2020-03-20T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,20,6,26,13,39,1,6,5,50,426,"",""
"27","2020-03-21T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,21,6,27,20,47,8,7,7,61,449,"",""
"28","2020-03-22T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,24,7,31,21,52,5,7,7,66,532,"",""
"29","2020-03-23T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,25,7,32,18,50,-2,10,7,67,532,"",""
"30","2020-03-24T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,27,7,34,21,55,5,10,8,73,572,"",""
"31","2020-03-25T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,26,7,33,20,53,-2,12,8,73,580,"",""
"32","2020-03-26T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,27,8,35,46,81,28,14,8,103,670,"",""
"33","2020-03-27T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,26,9,35,51,86,5,14,9,109,710,"",""
