"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_attualmente_positivi","nuovi_attualmente_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,1,"",""
"2","2020-02-25T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,1,0,0,1,1,"",""
"3","2020-02-26T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,1,"",""
"4","2020-02-27T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,2,"",""
"5","2020-02-28T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,2,"",""
"6","2020-02-29T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,16,"",""
"7","2020-03-01T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,"",""
"8","2020-03-02T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,"",""
"9","2020-03-03T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,"",""
"10","2020-03-04T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,"",""
"11","2020-03-05T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,"",""
"12","2020-03-06T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,4,0,4,0,4,3,0,0,4,36,"",""
"13","2020-03-07T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,8,0,8,1,9,5,0,0,9,36,"",""
"14","2020-03-08T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,8,0,8,1,9,0,0,0,9,36,"",""
"15","2020-03-09T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,8,0,8,1,9,0,0,0,9,36,"",""
"16","2020-03-10T18:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,17,1,18,20,38,29,0,0,38,36,"",""
"17","2020-03-11T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,8,4,12,63,75,37,0,0,75,75,"",""
"18","2020-03-12T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,21,4,25,78,103,28,0,1,104,607,"",""
"19","2020-03-13T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,20,5,25,98,123,20,0,2,125,811,"",""
"20","2020-03-14T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,26,7,33,137,170,47,0,3,173,1135,"",""
"21","2020-03-15T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,50,4,54,145,199,29,0,5,204,1497,"",""
"22","2020-03-16T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,53,11,64,171,235,36,0,6,241,1740,"",""
"23","2020-03-17T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,71,11,82,200,282,47,1,8,291,2149,"",""
"24","2020-03-18T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,79,18,97,269,366,84,1,9,376,2844,"",""
"25","2020-03-19T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,87,18,105,316,421,55,1,14,436,3568,"",""
"26","2020-03-20T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,99,24,123,407,530,109,1,17,548,4433,"",""
"27","2020-03-21T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,127,30,157,443,600,70,1,20,621,5179,"",""
"28","2020-03-22T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,146,32,178,470,648,48,7,23,678,5718,"",""
"29","2020-03-23T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,145,33,178,510,688,40,7,29,724,6084,"",""
"30","2020-03-24T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,166,38,204,495,699,11,44,38,781,6509,"",""
"31","2020-03-25T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,190,40,230,518,748,49,67,43,858,6649,"",""
"32","2020-03-26T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,223,43,266,525,791,43,67,48,906,7744,"",""
"33","2020-03-27T17:00:00","ITA",4,"P.A. Bolzano",46.49933453,11.35662422,249,45,294,539,833,42,110,60,1003,8520,"",""
