"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,"",""
"2","2020-02-25T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,8,"",""
"3","2020-02-26T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,8,"",""
"4","2020-02-27T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,8,"",""
"5","2020-02-28T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,8,"",""
"6","2020-02-29T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,31,"",""
"7","2020-03-01T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,2,2,2,2,0,0,2,35,"",""
"8","2020-03-02T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,0,0,0,2,2,0,0,0,0,2,35,"",""
"9","2020-03-03T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,1,1,2,6,8,6,6,0,0,8,45,"",""
"10","2020-03-04T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,1,1,2,7,9,1,1,0,0,9,58,"",""
"11","2020-03-05T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,1,1,2,7,9,0,0,0,0,9,88,"",""
"12","2020-03-06T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,2,2,4,12,16,7,7,0,0,16,110,"",""
"13","2020-03-07T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,2,2,4,20,24,8,8,0,0,24,134,"",""
"14","2020-03-08T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,2,2,4,22,26,2,2,0,0,26,168,"",""
"15","2020-03-09T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,4,2,6,22,28,2,2,0,0,28,183,"",""
"16","2020-03-10T18:00:00","ITA",10,"Umbria",43.10675841,12.38824698,8,2,10,27,37,9,9,0,0,37,260,"",""
"17","2020-03-11T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,7,5,12,32,44,7,9,2,0,46,340,"",""
"18","2020-03-12T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,8,8,16,46,62,18,18,2,0,64,458,"",""
"19","2020-03-13T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,11,10,21,52,73,11,12,2,1,76,576,"",""
"20","2020-03-14T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,21,11,32,71,103,30,31,3,1,107,748,"",""
"21","2020-03-15T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,25,13,38,101,139,36,36,3,1,143,965,"",""
"22","2020-03-16T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,30,15,45,114,159,20,21,4,1,164,1093,"",""
"23","2020-03-17T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,36,21,57,135,192,33,33,4,1,197,1323,"",""
"24","2020-03-18T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,54,21,75,166,241,49,50,4,2,247,1601,"",""
"25","2020-03-19T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,69,21,90,238,328,87,87,4,2,334,1954,"",""
