"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,12,4,16,16,32,0,32,0,1,33,2200,"",""
"2","2020-02-25T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,12,7,19,23,42,10,10,0,1,43,3780,"",""
"3","2020-02-26T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,16,8,24,45,69,27,28,0,2,71,4900,"",""
"4","2020-02-27T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,19,8,27,82,109,40,40,0,2,111,6164,"",""
"5","2020-02-28T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,24,9,33,116,149,40,40,0,2,151,7414,"",""
"6","2020-02-29T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,24,11,35,154,189,40,40,0,2,191,8659,"",""
"7","2020-03-01T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,51,13,64,197,261,72,72,0,2,263,9056,"",""
"8","2020-03-02T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,53,14,67,204,271,10,10,0,2,273,9782,"",""
"9","2020-03-03T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,49,19,68,229,297,26,34,7,3,307,10176,"",""
"10","2020-03-04T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,76,23,99,246,345,48,53,9,6,360,10515,"",""
"11","2020-03-05T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,92,24,116,264,380,35,47,17,10,407,11949,"",""
"12","2020-03-06T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,117,27,144,310,454,74,81,22,12,488,13023,"",""
"13","2020-03-07T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,123,41,164,341,505,51,55,25,13,543,14429,"",""
"14","2020-03-08T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,146,47,193,430,623,118,127,29,18,670,15918,"",""
"15","2020-03-09T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,186,51,237,457,694,71,74,30,20,744,15956,"",""
"16","2020-03-10T18:00:00","ITA",5,"Veneto",45.43490485,12.33845213,204,67,271,512,783,89,112,47,26,856,16643,"",""
"17","2020-03-11T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,262,68,330,610,940,157,167,54,29,1023,21400,"",""
"18","2020-03-12T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,360,85,445,852,1297,357,361,55,32,1384,23438,"",""
"19","2020-03-13T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,366,107,473,980,1453,156,211,100,42,1595,25691,"",""
"20","2020-03-14T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,366,119,485,1290,1775,322,342,107,55,1937,26980,"",""
"21","2020-03-15T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,426,129,555,1434,1989,214,235,120,63,2172,32546,"",""
"22","2020-03-16T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,498,156,654,1620,2274,285,301,130,69,2473,35052,"",""
"23","2020-03-17T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,548,171,719,1769,2488,214,231,136,80,2704,35478,"",""
"24","2020-03-18T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,646,195,841,2112,2953,465,510,167,94,3214,40841,"",""
"25","2020-03-19T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,771,209,980,2189,3169,216,270,200,115,3484,44658,"",""
"26","2020-03-20T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,843,236,1079,2598,3677,508,547,223,131,4031,49288,"",""
"27","2020-03-21T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,942,249,1191,3023,4214,537,586,257,146,4617,53642,"",""
"28","2020-03-22T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,1113,255,1368,3276,4644,430,505,309,169,5122,57671,"",""
"29","2020-03-23T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,1206,281,1487,3499,4986,342,383,327,192,5505,61115,"",""
"30","2020-03-24T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,1318,304,1622,3729,5351,365,443,381,216,5948,66178,"",""
"31","2020-03-25T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,1407,316,1723,4022,5745,394,494,439,258,6442,70877,"",""
