"","Friuli-Venezia Giulia","Emilia-Romagna","Marche","Abruzzo","Sicilia","Toscana","Lazio","Lombardia","Campania","Molise","Puglia","Basilicata","Trentino-Alto Adige/Südtirol","Calabria","Veneto","Piemonte","Valle d'Aosta/Vallée d'Aoste","Liguria","Sardegna","Umbria"
"Friuli-Venezia Giulia",47630,0,0,0,0,0,0,0,0,0,0,0,0,0,567.933333333333,0,0,0,0,0
"Emilia-Romagna",0,549832.2,345.4,0,0,78.8666666666667,59.8,1668.93333333333,10,0,0,0,0,0,427.866666666667,13,0,0,0,0
"Marche",0,339,109148.466666667,787,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,16.7
"Abruzzo",0,0,794.866666666667,77277.3333333333,0,0,180,0,190.8,79.9285714285714,0,0,0,0,0,0,0,0,0,0
"Sicilia",0,0,0,0,433983.2,0,16.9,0,0,0,0,0,0,37.8461538461538,0,0,0,20.6666666666667,0,0
"Toscana",0,76.8,0,0,0,429692.933333333,221.6,39.5,17.2,0,0,0,0,0,0,0,0,725.133333333333,30.6,451.2
"Lazio",0,49,0,163.133333333333,31.6153846153846,207,851390.4,85.6666666666667,868.733333333333,10,10,0,0,0,14,14.7142857142857,0,60.8333333333333,23.5384615384615,332.8
"Lombardia",0,1620.2,0,0,0,43.75,115.466666666667,544166.8,30.6666666666667,0,0,0,88.6666666666667,0,426.466666666667,1365.6,87.5,62.2666666666667,0,0
"Campania",0,19.6666666666667,0,47,0,18.6,785.533333333333,34.5,430238.8,46.0666666666667,0,11.5,0,0,0,0,0,0,0,0
"Molise",0,0,0,76.0666666666667,0,0,11,0,47.2,10505.2666666667,29.1666666666667,0,0,0,0,0,0,0,0,0
"Puglia",0,0,0,0,0,0,0,0,0,14.8888888888889,417678,265.666666666667,0,0,0,0,0,0,0,0
"Basilicata",0,0,0,0,0,0,0,0,11.75,0,287.866666666667,38759.0666666667,0,15,0,0,0,0,0,0
"Trentino-Alto Adige/Südtirol",0,18,0,0,0,0,0,104.933333333333,0,0,0,0,62725.4,0,191.933333333333,0,0,0,0,0
"Calabria",0,0,0,0,32.2,0,0,0,0,0,0,0,0,103086,0,0,0,0,0,0
"Veneto",611.6,414.533333333333,0,0,0,0,35,450.8,0,0,0,0,190,0,293901.666666667,0,0,0,0,0
"Piemonte",0,19,0,0,0,0,20,1370.26666666667,0,0,0,0,0,0,0,301731.266666667,29.5384615384615,206.8,0,0
"Valle d'Aosta/Vallée d'Aoste",0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,40.2,6282.13333333333,0,0,0
"Liguria",0,0,0,0,25,748.2,171.5,76.7142857142857,0,0,0,0,0,0,0,201.133333333333,0,122258.066666667,11.5,0
"Sardegna",0,0,0,0,0,29.0666666666667,23.3571428571429,0,0,0,0,0,0,0,0,0,0,12.5,93159.7333333333,0
"Umbria",0,0,12.8333333333333,0,0,438.533333333333,350.533333333333,0,0,0,0,0,0,0,0,0,0,0,0,119911.2
