"Age Group (Years of Age)","FIPS","GENC","Country/Area Name","Population","Male Population","Female Population"
"0 - 4 years","BE","BE","Belgium","660101","337875","322226"
"5 - 9 years","BE","BE","Belgium","674942","345416","329526"
"10 - 14 years","BE","BE","Belgium","688688","352894","335794"
"15 - 19 years","BE","BE","Belgium","652122","334347","317775"
"20 - 24 years","BE","BE","Belgium","671446","342024","329422"
"25 - 29 years","BE","BE","Belgium","731947","371045","360902"
"30 - 34 years","BE","BE","Belgium","779457","392620","386837"
"35 - 39 years","BE","BE","Belgium","773851","387906","385945"
"40 - 44 years","BE","BE","Belgium","770753","388676","382077"
"45 - 49 years","BE","BE","Belgium","752839","380550","372289"
"50 - 54 years","BE","BE","Belgium","787043","397542","389501"
"55 - 59 years","BE","BE","Belgium","807039","404803","402236"
"60 - 64 years","BE","BE","Belgium","746778","367679","379099"
"65 - 69 years","BE","BE","Belgium","649817","313395","336422"
"70 - 74 years","BE","BE","Belgium","568110","267111","300999"
"75 - 79 years","BE","BE","Belgium","408852","183123","225729"
"80 - 84 years","BE","BE","Belgium","310475","127364","183111"
"85 - 89 years","BE","BE","Belgium","209155","75458","133697"
"90 - 94 years","BE","BE","Belgium","100328","30138","70190"
"95 - 99 years","BE","BE","Belgium","30248","7168","23080"
"100+ years","BE","BE","Belgium","4851","882","3969"
