"Age Group (Years of Age)","FIPS","GENC","Country/Area Name","Population","Male Population","Female Population"
"0 - 4 years","FI","FI","Finland","297155","151926","145229"
"5 - 9 years","FI","FI","Finland","303783","155282","148501"
"10 - 14 years","FI","FI","Finland","313405","160182","153223"
"15 - 19 years","FI","FI","Finland","300872","153920","146952"
"20 - 24 years","FI","FI","Finland","307003","157129","149874"
"25 - 29 years","FI","FI","Finland","349365","178769","170596"
"30 - 34 years","FI","FI","Finland","353821","181837","171984"
"35 - 39 years","FI","FI","Finland","362530","187037","175493"
"40 - 44 years","FI","FI","Finland","349574","179616","169958"
"45 - 49 years","FI","FI","Finland","322042","164442","157600"
"50 - 54 years","FI","FI","Finland","341843","171843","170000"
"55 - 59 years","FI","FI","Finland","366713","182291","184422"
"60 - 64 years","FI","FI","Finland","355366","173811","181555"
"65 - 69 years","FI","FI","Finland","354189","169420","184769"
"70 - 74 years","FI","FI","Finland","351327","164209","187118"
"75 - 79 years","FI","FI","Finland","238484","106028","132456"
"80 - 84 years","FI","FI","Finland","164341","66249","98092"
"85 - 89 years","FI","FI","Finland","95372","33564","61808"
"90 - 94 years","FI","FI","Finland","45583","13085","32498"
"95 - 99 years","FI","FI","Finland","12673","2762","9911"
"100+ years","FI","FI","Finland","2001","320","1681"
