"Age Group (Years of Age)","FIPS","GENC","Country/Area Name","Population","Male Population","Female Population"
"0 - 4 years","IT","IT","Italy","2645566","1358862","1286704"
"5 - 9 years","IT","IT","Italy","2769974","1419115","1350859"
"10 - 14 years","IT","IT","Italy","2932459","1493738","1438721"
"15 - 19 years","IT","IT","Italy","2968742","1497757","1470985"
"20 - 24 years","IT","IT","Italy","3041263","1518314","1522949"
"25 - 29 years","IT","IT","Italy","3281737","1621810","1659927"
"30 - 34 years","IT","IT","Italy","3531873","1740685","1791188"
"35 - 39 years","IT","IT","Italy","3877837","1906896","1970941"
"40 - 44 years","IT","IT","Italy","4387315","2165462","2221853"
"45 - 49 years","IT","IT","Italy","5060898","2501801","2559097"
"50 - 54 years","IT","IT","Italy","5068741","2494499","2574242"
"55 - 59 years","IT","IT","Italy","4869741","2379719","2490022"
"60 - 64 years","IT","IT","Italy","4102571","1979283","2123288"
"65 - 69 years","IT","IT","Italy","3554615","1683351","1871264"
"70 - 74 years","IT","IT","Italy","3360175","1552448","1807727"
"75 - 79 years","IT","IT","Italy","2562688","1131668","1431020"
"80 - 84 years","IT","IT","Italy","2149368","883172","1266196"
"85 - 89 years","IT","IT","Italy","1319626","486934","832692"
"90 - 94 years","IT","IT","Italy","657111","207379","449732"
"95 - 99 years","IT","IT","Italy","212968","53891","159077"
"100+ years","IT","IT","Italy","35096","7044","28052"
