"Age Group (Years of Age)","FIPS","GENC","Country/Area Name","Population","Male Population","Female Population"
"0 - 4 years","LU","LU","Luxembourg","36691","18911","17780"
"5 - 9 years","LU","LU","Luxembourg","35354","18271","17083"
"10 - 14 years","LU","LU","Luxembourg","34907","17869","17038"
"15 - 19 years","LU","LU","Luxembourg","34910","17916","16994"
"20 - 24 years","LU","LU","Luxembourg","39424","20185","19239"
"25 - 29 years","LU","LU","Luxembourg","45304","23176","22128"
"30 - 34 years","LU","LU","Luxembourg","48849","24794","24055"
"35 - 39 years","LU","LU","Luxembourg","48615","24905","23710"
"40 - 44 years","LU","LU","Luxembourg","47531","24436","23095"
"45 - 49 years","LU","LU","Luxembourg","44552","22852","21700"
"50 - 54 years","LU","LU","Luxembourg","45219","23428","21791"
"55 - 59 years","LU","LU","Luxembourg","43003","22384","20619"
"60 - 64 years","LU","LU","Luxembourg","35909","18204","17705"
"65 - 69 years","LU","LU","Luxembourg","29380","14466","14914"
"70 - 74 years","LU","LU","Luxembourg","23947","11714","12233"
"75 - 79 years","LU","LU","Luxembourg","17528","8078","9450"
"80 - 84 years","LU","LU","Luxembourg","13044","5442","7602"
"85 - 89 years","LU","LU","Luxembourg","8293","3141","5152"
"90 - 94 years","LU","LU","Luxembourg","4790","1702","3088"
"95 - 99 years","LU","LU","Luxembourg","1762","420","1342"
"100+ years","LU","LU","Luxembourg","577","62","515"
