"Age Group (Years of Age)","FIPS","GENC","Country/Area Name","Population","Male Population","Female Population"
"0 - 4 years","NL","NL","Netherlands","938189","480548","457641"
"5 - 9 years","NL","NL","Netherlands","920429","471471","448958"
"10 - 14 years","NL","NL","Netherlands","930236","475687","454549"
"15 - 19 years","NL","NL","Netherlands","994248","508363","485885"
"20 - 24 years","NL","NL","Netherlands","1059143","538318","520825"
"25 - 29 years","NL","NL","Netherlands","1096271","555048","541223"
"30 - 34 years","NL","NL","Netherlands","1110321","560553","549768"
"35 - 39 years","NL","NL","Netherlands","1036574","521704","514870"
"40 - 44 years","NL","NL","Netherlands","1014150","507806","506344"
"45 - 49 years","NL","NL","Netherlands","1087942","538368","549574"
"50 - 54 years","NL","NL","Netherlands","1268375","633930","634445"
"55 - 59 years","NL","NL","Netherlands","1252621","626649","625972"
"60 - 64 years","NL","NL","Netherlands","1141620","565194","576426"
"65 - 69 years","NL","NL","Netherlands","1008985","493913","515072"
"70 - 74 years","NL","NL","Netherlands","953043","458628","494415"
"75 - 79 years","NL","NL","Netherlands","672571","310429","362142"
"80 - 84 years","NL","NL","Netherlands","441525","186160","255365"
"85 - 89 years","NL","NL","Netherlands","257255","93571","163684"
"90 - 94 years","NL","NL","Netherlands","115577","34799","80778"
"95 - 99 years","NL","NL","Netherlands","33139","8164","24975"
"100+ years","NL","NL","Netherlands","5189","1085","4104"
