"Age Group (Years of Age)","FIPS","GENC","Country/Area Name","Population","Male Population","Female Population"
"0 - 4 years","PL","PL","Poland","1752852","901281","851571"
"5 - 9 years","PL","PL","Poland","1901379","977644","923735"
"10 - 14 years","PL","PL","Poland","1990223","1023925","966298"
"15 - 19 years","PL","PL","Poland","1764272","906337","857935"
"20 - 24 years","PL","PL","Poland","1925297","989663","935634"
"25 - 29 years","PL","PL","Poland","2328027","1190631","1137396"
"30 - 34 years","PL","PL","Poland","2697931","1375232","1322699"
"35 - 39 years","PL","PL","Poland","3254926","1649192","1605734"
"40 - 44 years","PL","PL","Poland","3121063","1575111","1545952"
"45 - 49 years","PL","PL","Poland","2815376","1413277","1402099"
"50 - 54 years","PL","PL","Poland","2300929","1147045","1153884"
"55 - 59 years","PL","PL","Poland","2295765","1112799","1182966"
"60 - 64 years","PL","PL","Poland","2652989","1242839","1410150"
"65 - 69 years","PL","PL","Poland","2556194","1144010","1412184"
"70 - 74 years","PL","PL","Poland","2003029","844620","1158409"
"75 - 79 years","PL","PL","Poland","1076351","412667","663684"
"80 - 84 years","PL","PL","Poland","858158","293101","565057"
"85 - 89 years","PL","PL","Poland","551902","174668","377234"
"90 - 94 years","PL","PL","Poland","257934","79451","178483"
"95 - 99 years","PL","PL","Poland","71494","21002","50492"
"100+ years","PL","PL","Poland","9822","3092","6730"
