"Fasce","Abruzzo","Basilicata","Calabria","Campania","Emilia Romagna","Friuli Venezia Giulia","Lazio","Liguria","Lombardia","Marche","Molise","P.A. Bolzano","P.A. Trento","Piemonte","Puglia","Sardegna","Sicilia","Toscana","Umbria","Valle d'Aosta","Veneto","Italia"
"0-9",104868,41991,165312,530912,378176,93182,506283,109118,884414,123450,21948,54936,50035,346338,332668,116308,440105,294910,70074,10528,414926,5090482
"10-19",117094,52979,190676,641470,404912,106022,546882,128322,961237,138615,26617,57894,55470,386792,407564,138239,515344,331182,79194,11907,470462,5768874
"20-29",134238,63504,227036,715901,416656,110352,584104,138660,982354,148825,33639,61173,57011,409014,454334,158533,585416,343614,82608,11914,482384,6201270
"30-39",156306,67268,248301,736472,509891,129345,717632,151638,1187594,172352,36111,63502,61244,472194,480448,193523,614982,414568,100350,13445,547052,7074218
"40-49",196299,81348,277410,860147,709189,185081,946659,223467,1591034,230374,43484,78038,79574,658299,601316,260127,726189,575674,132027,19293,767625,9242654
"50-59",203139,88030,290512,868548,691144,194188,931157,252494,1566175,233788,47515,81712,84079,682253,606678,266150,738060,582074,135143,20406,788986,9352231
"60-69",167393,72610,242138,666878,534643,155142,695812,203327,1182159,191098,40461,55354,65316,558840,492806,223054,605502,462876,110810,15903,595088,7337210
"70-79",129508,51445,174360,480067,454624,141583,555882,189487,994236,156257,29869,46657,51198,479555,388850,170211,458247,410421,94959,12951,492166,5962533
"80-89",83475,36162,108440,252942,290154,80359,326211,124680,588241,105212,20864,25992,29478,300502,219235,93001,263279,254430,61915,7643,283331,3555546
"90+",18864,7419,22458,47346,68820,19607,66957,28803,120949,24870,5000,5848,7587,61520,44255,20033,51720,58911,14681,1652,62772,760072
